true_x,true_y,pred_x,pred_y,dist_px
768,432,432,836,525.46
768,432,432,836,525.46
768,432,432,836,525.46
768,432,689,403,84.15
768,432,817,355,91.27
768,432,817,355,91.27
768,432,817,355,91.27
768,432,1136,401,369.30
768,432,966,354,212.81
768,432,1295,478,529.00
768,432,1531,633,789.03
768,432,960,353,207.62
768,432,1046,371,284.61
768,432,922,349,174.94
768,432,657,426,111.16
768,432,739,378,61.29
768,432,703,395,74.79
768,432,661,422,107.47
768,432,886,348,144.84
768,432,631,447,137.82
122,69,618,460,631.58
122,69,732,380,684.71
122,69,823,354,756.72
122,69,784,362,723.94
122,69,575,509,631.51
122,69,740,377,690.50
122,69,690,403,658.92
122,69,814,355,748.77
122,69,827,353,760.05
122,69,740,377,690.50
122,69,847,350,777.55
122,69,764,368,708.21
1414,69,1030,367,486.07
1414,69,983,357,518.37
1414,69,1198,428,418.97
1414,69,1067,377,463.98
1414,69,1237,447,417.39
1414,69,1188,423,419.99
1414,69,921,349,566.96
1414,69,994,359,510.39
1414,69,1094,386,450.43
1414,69,937,351,554.12
1414,69,928,350,561.39
1414,69,1011,362,498.25
1414,69,796,359,682.66
1414,69,917,349,570.45
1414,69,867,349,614.50
1414,69,814,355,664.68
1414,69,807,357,671.86
1414,69,805,357,673.67
1414,69,889,348,594.53
1414,69,920,349,567.83
122,795,644,436,633.53
122,795,735,379,740.83
122,795,579,504,541.78
122,795,724,384,728.92
122,795,612,466,590.20
122,795,710,391,713.41
122,795,669,416,665.47
1414,795,1615,697,223.62
1414,795,1615,697,223.62
1414,795,1460,581,218.89
1414,795,1356,514,286.92
1414,795,1520,624,201.19
1414,795,1381,529,268.04
1414,795,1267,462,364.00
1414,795,1330,498,308.65
1414,795,1167,414,454.06
1414,795,1138,402,480.23
1414,795,934,350,654.54
1414,795,1100,388,514.05
1414,795,964,354,630.06
768,69,766,368,299.01
768,69,743,376,308.02
768,69,807,357,290.63
768,69,735,379,311.75
768,69,830,353,290.69
768,69,941,351,330.84
768,69,829,353,290.48
768,69,780,363,294.24
768,69,858,350,295.06
768,69,798,359,291.55
768,69,758,370,301.17
768,69,725,384,317.92
768,69,790,361,292.83
768,69,753,372,303.37
768,69,713,390,325.68
768,69,731,381,314.19
768,69,718,387,321.91
768,69,738,378,310.45
768,69,716,388,323.21
768,69,750,373,304.53
768,69,779,363,294.21
768,795,687,405,398.32
768,795,750,373,422.38
768,795,677,411,394.64
768,795,653,428,384.60
768,795,576,508,345.30
768,795,653,428,384.60
768,795,781,363,432.20
768,795,721,386,411.69
768,795,695,400,401.69
768,795,725,384,413.24
768,795,719,386,411.92
768,795,652,430,382.99
768,795,646,434,381.06
768,795,717,387,411.18
768,795,662,422,387.77
768,795,667,418,390.29
768,795,753,372,423.27
768,795,693,401,401.07
768,795,713,390,408.72
768,795,708,392,407.44
768,795,662,421,388.73
122,432,743,376,623.52
122,432,665,420,543.13
122,432,678,410,556.44
122,432,722,385,601.84
122,432,805,357,687.11
122,432,796,359,677.94
122,432,753,372,633.85
122,432,718,387,597.70
122,432,786,362,667.68
122,432,772,366,653.34
122,432,761,369,642.10
122,432,794,360,675.85
122,432,805,357,687.11
122,432,759,370,640.01
122,432,750,373,630.77
122,432,761,369,642.10
122,432,762,369,643.09
122,432,771,366,652.35
122,432,798,358,680.04
122,432,769,366,650.36
1414,432,740,377,676.24
1414,432,664,420,750.10
1414,432,788,361,630.01
1414,432,892,348,528.72
1414,432,813,355,605.91
1414,432,839,351,580.68
1414,432,771,366,646.38
1414,432,805,357,613.60
1414,432,719,386,696.52
1414,432,725,384,690.67
1414,432,730,381,685.90
1414,432,709,392,706.13
1414,432,775,364,642.61
1414,432,731,381,684.90
1414,432,729,382,686.82
1414,432,736,379,680.07
1414,432,726,383,689.74
1414,432,700,397,714.86
1414,432,688,404,726.54
1414,432,664,420,750.10
